Id,Geography,MedianIncome
0500000US06081,"San Mateo County, California",105667
0500000US06083,"Santa Barbara County, California",68023
0500000US06085,"Santa Clara County, California",106761
0500000US06087,"Santa Cruz County, California",73663
0500000US06089,"Shasta County, California",47258
0500000US06091,"Sierra County, California",44190
0500000US06093,"Siskiyou County, California",40884
0500000US06095,"Solano County, California",72950
0500000US06097,"Sonoma County, California",71769
0500000US06099,"Stanislaus County, California",54260
0500000US06101,"Sutter County, California",54347
0500000US06103,"Tehama County, California",42512
0500000US06105,"Trinity County, California",36563
0500000US06107,"Tulare County, California",44871
0500000US06109,"Tuolumne County, California",54325
0500000US06111,"Ventura County, California",81972
0500000US06113,"Yolo County, California",61621
0500000US06115,"Yuba County, California",51776
0500000US08001,"Adams County, Colorado",64087
0500000US08003,"Alamosa County, Colorado",36315
0500000US08005,"Arapahoe County, Colorado",69553
0500000US08007,"Archuleta County, Colorado",48016
0500000US08009,"Baca County, Colorado",35898
0500000US08011,"Bent County, Colorado",32500
0500000US08013,"Boulder County, Colorado",75669
0500000US08014,"Broomfield County, Colorado",85639
0500000US08015,"Chaffee County, Colorado",53762
0500000US08017,"Cheyenne County, Colorado",54907
0500000US08019,"Clear Creek County, Colorado",68534
0500000US08021,"Conejos County, Colorado",35657
0500000US08023,"Costilla County, Colorado",29000
0500000US08025,"Crowley County, Colorado",35292
0500000US08027,"Custer County, Colorado",41330
0500000US08029,"Delta County, Colorado",42487
0500000US08031,"Denver County, Colorado",60098
0500000US08033,"Dolores County, Colorado",40352
0500000US08035,"Douglas County, Colorado",111154
0500000US08037,"Eagle County, Colorado",83803
0500000US08039,"Elbert County, Colorado",92849
0500000US08041,"El Paso County, Colorado",62535
0500000US08043,"Fremont County, Colorado",44712
0500000US08045,"Garfield County, Colorado",66503
0500000US08047,"Gilpin County, Colorado",72544
0500000US08049,"Grand County, Colorado",66489
0500000US08051,"Gunnison County, Colorado",52651
0500000US08053,"Hinsdale County, Colorado",53056
0500000US08055,"Huerfano County, Colorado",35801
0500000US08057,"Jackson County, Colorado",45994
0500000US08059,"Jefferson County, Colorado",75170
0500000US08061,"Kiowa County, Colorado",39250
0500000US08063,"Kit Carson County, Colorado",45881
0500000US08065,"Lake County, Colorado",46176
0500000US08067,"La Plata County, Colorado",62533
0500000US08069,"Larimer County, Colorado",64980
0500000US08071,"Las Animas County, Colorado",40586
0500000US08073,"Lincoln County, Colorado",44725
0500000US08075,"Logan County, Colorado",44876
0500000US08077,"Mesa County, Colorado",51971
0500000US08079,"Mineral County, Colorado",50385
0500000US08081,"Moffat County, Colorado",53010
0500000US08083,"Montezuma County, Colorado",45645
0500000US08085,"Montrose County, Colorado",44865
0500000US08087,"Morgan County, Colorado",51456
0500000US08089,"Otero County, Colorado",35051
0500000US08091,"Ouray County, Colorado",61333
0500000US08093,"Park County, Colorado",61644
0500000US08095,"Phillips County, Colorado",50076
0500000US08097,"Pitkin County, Colorado",67755
0500000US08099,"Prowers County, Colorado",41740
0500000US08101,"Pueblo County, Colorado",42386
0500000US08103,"Rio Blanco County, Colorado",57991
0500000US08105,"Rio Grande County, Colorado",38534
0500000US08107,"Routt County, Colorado",67472
0500000US08109,"Saguache County, Colorado",34765
0500000US08111,"San Juan County, Colorado",46397
0500000US08113,"San Miguel County, Colorado",62243
0500000US08115,"Sedgwick County, Colorado",49583
0500000US08117,"Summit County, Colorado",73538
0500000US08119,"Teller County, Colorado",66809
0500000US08121,"Washington County, Colorado",51458
0500000US08123,"Weld County, Colorado",66489
0500000US08125,"Yuma County, Colorado",44668
0500000US09001,"Fairfield County, Connecticut",89773
0500000US09003,"Hartford County, Connecticut",69936
0500000US09005,"Litchfield County, Connecticut",76438
0500000US09007,"Middlesex County, Connecticut",81673
0500000US09009,"New Haven County, Connecticut",64872
0500000US09011,"New London County, Connecticut",69411
0500000US09013,"Tolland County, Connecticut",81312
0500000US09015,"Windham County, Connecticut",62553
0500000US10001,"Kent County, Delaware",57647
0500000US10003,"New Castle County, Delaware",68336
0500000US10005,"Sussex County, Delaware",57901
0500000US11001,"District of Columbia, District of Columbia",77649
0500000US12001,"Alachua County, Florida",45478
0500000US12003,"Baker County, Florida",59506
0500000US12005,"Bay County, Florida",50283
0500000US12007,"Bradford County, Florida",46106
0500000US12009,"Brevard County, Florida",51536
0500000US12011,"Broward County, Florida",54895
0500000US12013,"Calhoun County, Florida",36237
0500000US12015,"Charlotte County, Florida",46511
0500000US12017,"Citrus County, Florida",40574
0500000US12019,"Clay County, Florida",61971
0500000US12021,"Collier County, Florida",62407
0500000US12023,"Columbia County, Florida",43504
0500000US12027,"DeSoto County, Florida",35435
0500000US12029,"Dixie County, Florida",35910
0500000US12031,"Duval County, Florida",51296
0500000US12033,"Escambia County, Florida",47361
0500000US12035,"Flagler County, Florida",51049
0500000US12037,"Franklin County, Florida",41267
0500000US12039,"Gadsden County, Florida",39830
0500000US12041,"Gilchrist County, Florida",42934
0500000US12043,"Glades County, Florida",37385
0500000US12045,"Gulf County, Florida",44647
0500000US12047,"Hamilton County, Florida",36209
0500000US12049,"Hardee County, Florida",39063
0500000US12051,"Hendry County, Florida",37966
0500000US12053,"Hernando County, Florida",44324
0500000US12055,"Highlands County, Florida",36374
0500000US12057,"Hillsborough County, Florida",53742
0500000US12059,"Holmes County, Florida",37474
0500000US12061,"Indian River County, Florida",49009
0500000US12063,"Jackson County, Florida",36944
0500000US12065,"Jefferson County, Florida",47599
0500000US12067,"Lafayette County, Florida",41512
0500000US12069,"Lake County, Florida",49734
0500000US12071,"Lee County, Florida",52052
0500000US12073,"Leon County, Florida",49941
0500000US12075,"Levy County, Florida",36554
0500000US12077,"Liberty County, Florida",36741
0500000US12079,"Madison County, Florida",31816
0500000US12081,"Manatee County, Florida",53408
0500000US12083,"Marion County, Florida",41964
0500000US12085,"Martin County, Florida",55588
0500000US12086,"Miami-Dade County, Florida",46338
0500000US12087,"Monroe County, Florida",63030
0500000US12089,"Nassau County, Florida",64294
0500000US12091,"Okaloosa County, Florida",59955
0500000US12093,"Okeechobee County, Florida",39059
0500000US12095,"Orange County, Florida",51586
0500000US12097,"Osceola County, Florida",47343
0500000US12099,"Palm Beach County, Florida",57256
0500000US12101,"Pasco County, Florida",48289
0500000US12103,"Pinellas County, Florida",48968
0500000US12105,"Polk County, Florida",45988
0500000US12107,"Putnam County, Florida",33619
0500000US12109,"St. Johns County, Florida",73640
0500000US12111,"St. Lucie County, Florida",47132
0500000US12113,"Santa Rosa County, Florida",62731
0500000US12115,"Sarasota County, Florida",55236
0500000US12117,"Seminole County, Florida",60739
